As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
-1,0,4,4,0.55000001,15,105,-2,6,1.70000005,21,424337.8318,6134066.045
-1,0,5,13,0.81999999,30,270,3,12,1.20000005,42,427093.6445,6141874.884
-1,0,7,16,1,65,215,2,19,1.89999998,55,427416.5399,6144102.469
-1,0,9,19,2.29999995,40,495,2,20,2.5,88,428367.0946,6136264.121
3,4,7,22,2.45000005,42,380,2,20,1.5,60,429670.6895,6138023.033
-1,0,11,34,2.5999999,45,665,2,24,3.5,90,430209.5532,6150575.717
-1,0,9,18,2,65,380,2,23,2.70000005,81,430503.84,6146642.88
-1,2,7,19,2,28,440,3,21,1.70000005,64,431171.0949,6140322.224
0,0,17,28,9.30000019,50,3300,2,25,3.5999999,140,432037.7299,6153110.581
2,0,24,15,5.9000001,28,920,3,18,4.0999999,77,432304.7327,6158786.699
-1,3,10,19,4.5999999,31,450,3,22,0.5,80,433471.1827,6147422.954
-1,4,7,17,2,14,380,2,18,0.69999999,74,433571.0603,6144822.367
-1,0,9,29,4,66,755,2,14,1.60000002,89,433970.9516,6156513.939
-1,0,10,28,5.30000019,70,730,2,21,2.4000001,83,433995.8986,6151413.307
-1,0,10,28,2.5999999,50,540,-2,22,2.5999999,75,434636.7442,6158928.334
-1,0,27,32,5.4000001,77,1200,2,35,4.19999981,170,435376.9293,6162757.244
-1,0,8,19,1.70000005,77,455,-2,17,8.5,67,435508.8234,6167262.371
-1,0,12,9,1.5,32,390,-2,13,2.0999999,39,437359.1656,6164155.385
2,5,11,21,3.45000005,30,865,2,19,1.5,88,437370.859,6134722.474
-1,3,4,8,1.14999998,23,265,-2,7,1.79999995,36,438071.1106,6147622.818
-1,-1,5,6,1,14,170,2,4,1,28,438170.9138,6150222.637
2,-2,5,17,2.79999995,27,330,3,13,0.5,92,438271.1323,6136022.094
-1,0,14,32,2.5999999,72,590,2,29,1.89999998,85,438415.2108,6152367.423
3,8,11,23,2.3499999,78,320,2,17,1.60000002,68,438970.7105,6155523.01
3,0,9,21,2.5,46,485,3,18,4.69999981,51,439084.8377,6174793.39
-1,0,11,20,2.5,68,495,2,21,2.70000005,82,439224.828,6160646.295
-1,0,10,25,2.79999995,96,345,2,18,1.10000002,78,439448.6811,6156130.809
1,4,11,8,2.1500001,22,605,2,13,0.5,44,439470.7498,6160422.507
-1,0,9,24,1.79999995,52,425,2,29,3,75,439946.6117,6166662.509
3,9,10,24,1.5,89,240,2,18,2.20000005,70,440170.6746,6154422.381
1,3,8,25,2.04999995,23,595,2,12,4,58,440870.9738,6146923.167
2,8,15,30,2.54999995,84,380,3,19,2,96,440871.1473,6151822.816
2,-1,18,14,2.1500001,34,1000,3,17,0.60000002,72,441170.8521,6135023.151
1,4,8,23,1.54999995,34,395,2,18,0.60000002,64,441170.8931,6138022.765
-1,0,8,31,2.29999995,64,335,2,28,3.20000005,82,441486.967,6166086.194
1,0,8,13,1.79999995,20,400,2,15,5.80000019,36,441707.4137,6178624.47
2,8,15,41,1.79999995,62,425,3,35,2.20000005,106,441771.0377,6157322.664
-1,0,11,40,2,89,570,3,29,3.5999999,95,441775.5792,6173567.862
3,3,2,8,1,30,605,4,7,0.2,44,441970.773,6141022.788
1,0,11,31,2.70000005,100,695,2,33,4.19999981,95,442329.0053,6170399.338
3,0,7,8,2.5999999,20,935,-2,10,2.5,34,442560.6123,6176334.63
-1,0,9,27,1.89999998,64,310,2,19,2.0999999,78,442627.9964,6160229.831
-1,3,10,20,2,30,370,2,12,1.79999995,70,443570.8638,6148422.616
1,0,11,30,3.5,80,540,3,18,5.30000019,150,443694.3577,6183855.521
-1,0,16,34,2.70000005,108,535,2,17,2.20000005,72,443715.281,6162613.1
2,5,13,20,2.1500001,46,305,3,18,1,96,444371.1988,6150422.577
2,4,21,18,3.0999999,56,785,-2,28,1.39999998,106,444570.9944,6160722.434
3,6,8,18,1.64999998,27,265,2,30,0.5,86,444571.1928,6137022.754
-1,0,8,24,1.39999998,64,375,-2,28,3,73,444643.5788,6181623.826
4,0,8,33,2.45000005,22,740,2,21,2,66,444771.1931,6143422.12
-1,0,8,26,1.10000002,104,200,2,18,5.19999981,63,444826.432,6186244.98
5,9,10,27,2.1500001,72,435,5,24,3.29999995,56,444971.1279,6165423.208
5,9,13,43,2.5,100,620,4,24,1.5,120,445071.2237,6140022.534
3,8,20,28,4,84,855,2,35,1.20000005,116,445171.1274,6154822.407
3,6,12,43,2.4000001,34,655,3,41,2,94,445571.2928,6158023.008
1,0,5,6,1.5,16,775,-2,6,1.20000005,22,446207.628,6178624.488
1,3,10,28,2.3499999,26,545,3,18,2.29999995,82,446570.7845,6146422.909
6,0,10,12,3.29999995,24,960,-2,18,3.20000005,55,446583.9848,6181821.101
2,2,6,10,1.85000002,16,320,2,11,1.5,64,446770.9727,6134123.061
2,-1,6,27,2.75,58,640,4,14,1.39999998,58,446771.3225,6151022.861
4,6,6,25,1.85000002,72,435,3,21,2.79999995,50,447371.2524,6164822.67
2,4,15,25,3.25,46,585,-2,31,2,104,447570.8281,6157022.545
6,6,17,36,2.8499999,22,605,5,41,1.79999995,104,447870.9563,6143422.205
3,-1,6,12,4,28,940,2,16,2,56,447971.3156,6168623.273
1,0,16,33,2.70000005,80,520,2,29,3.5999999,110,448111.7606,6177411.525
3,5,5,26,1.64999998,16,900,5,10,0.5,44,448170.8146,6136622.956
4,6,12,42,2.75,40,810,-2,39,1.70000005,104,448271.1405,6160122.97
-1,0,10,32,3.5,44,455,2,29,4.0999999,120,448599.766,6185228.011
2,-1,13,27,2.75,67,640,-2,30,2,108,448670.9596,6155823.056
2,-1,5,7,3,18,1250,-2,10,1,34,448770.9327,6171722.615
5,7,11,25,2.4000001,60,915,2,20,0.2,120,449670.8885,6142322.729
1,4,18,41,2.5999999,54,855,3,23,2.70000005,114,450170.844,6147622.703
3,3,10,23,1.45000005,27,330,2,33,1.39999998,82,450171.0184,6130422.629
2,7,11,28,3.04999995,56,605,2,31,2.20000005,86,450470.9006,6160022.704
5,0,11,28,1.75,44,350,2,22,2.4000001,82,450570.999,6138422.688
1,7,12,26,1.85000002,62,380,4,18,1.60000002,70,450571.2234,6151123.035
3,-1,11,14,5.0999999,34,1350,2,18,2,56,450771.003,6168422.615
3,4,11,23,3.1500001,27,450,-2,25,2.5999999,76,450771.4062,6133722.562
2,-1,12,18,2.54999995,34,670,2,21,2.5999999,66,450971.2474,6165122.47
1,-1,4,2,1.10000002,-10,740,2,2,0.5,120,451070.7329,6171923.067
5,-1,13,26,2.45000005,22,560,-2,41,2.5,82,451271.1286,6127323.023
1,0,16,36,3.4000001,36,775,2,38,7.19999981,110,451480.0072,6180611.332
3,7,13,41,3.8499999,76,885,2,37,3.5,88,451571.0924,6179322.525
-1,0,12,19,2.29999995,28,480,2,24,3.5999999,72,451665.9061,6193415.993
2,5,12,27,2.8499999,34,640,2,30,1.20000005,92,451671.3143,6157623.022
5,15,22,65,2.3499999,156,500,3,51,1.5,108,451870.9245,6175722.97
5,9,14,30,2.70000005,68,425,3,19,0.89999998,96,451971.0783,6141322.089
3,6,22,69,2.5,84,785,-2,65,1.39999998,104,452471.1136,6154822.871
4,7,9,30,4,36,655,3,20,2.70000005,78,452770.9446,6143822.118
-1,0,17,21,6.0999999,44,950,2,29,4.30000019,120,453170.6066,6188022.304
1,9,9,37,1.85000002,78,295,3,22,2,86,453270.8501,6151322.811
3,6,9,16,4.75,28,1550,2,20,1.70000005,62,454271.4245,6164323.196
3,6,12,37,1.75,62,950,3,41,1,90,454371.2314,6160722.823
-1,0,14,22,5.9000001,56,795,2,28,4.5,110,454399.9452,6193536.585
1,5,4,24,1.10000002,16,840,5,12,0.2,36,454471.28,6126423.13
2,3,13,20,2.8499999,32,565,-2,27,1.5,74,454571.0459,6183623.246
6,-1,8,17,2.29999995,64,480,2,17,10,54,454671.2915,6168023.134
6,12,15,32,1.95000005,132,380,5,20,0.2,116,454770.7457,6185822.643
4,9,27,50,5.75,98,1150,2,37,1,96,454970.8971,6178022.754
4,8,11,27,2.3499999,86,490,3,28,3,76,454970.9562,6174622.458
4,6,9,52,1.85000002,34,500,4,42,0.80000001,96,455071.5041,6138022.992
4,-1,6,27,3,46,1850,-2,18,0.5,58,455170.8786,6155022.679
3,6,11,30,2.8499999,27,490,3,43,1.60000002,90,455171.3151,6134123.247
3,6,12,34,3,40,525,3,40,0.60000002,94,455271.1028,6140522.761
4,-1,11,20,1.85000002,36,395,3,23,1.10000002,102,455371.2736,6143222.944
6,10,42,37,4.69999981,108,820,4,23,7.4000001,104,455371.3354,6172422.353
2,5,15,32,4.1500001,66,500,2,11,2.5999999,82,455371.4826,6147923.075
3,7,11,35,2.45000005,62,585,2,28,1.60000002,84,455471.0933,6157922.337
-1,0,9,26,2.20000005,69,715,2,17,4.19999981,71,455595.6489,6200809.082
1,0,15,31,7.5,70,3150,4,13,7.69999981,91,455730.4031,6208710.44
-1,0,14,46,3.20000005,77,710,2,43,4,130,455771.8289,6195797.417
3,1,7,14,1.45000005,16,285,-2,16,1.5,54,455971.1218,6130123.032
-1,0,14,24,3,48,420,2,30,4.0999999,110,456167.6038,6191337.869
-1,0,19,33,2.5,85,585,3,18,1.89999998,82,456883.0446,6199636.235
5,10,22,68,6.3499999,104,1150,5,42,5,174,457271.3714,6175722.347
-1,0,10,20,2.9000001,35,570,2,23,3.9000001,81,457523.5376,6203466.587
6,14,40,74,8.80000019,130,35000,6,45,10.39999962,178,457571.2459,6168823.204
4,4,11,32,2,48,475,2,32,1.5,90,457871.5016,6130122.37
-1,0,14,20,6.9000001,46,1060,3,24,4.5999999,110,457967.0176,6194555.631
5,11,27,43,11.5,98,2250,4,23,0.5,152,457970.9389,6179022.324
1,6,11,48,2.20000005,40,360,2,51,1.60000002,94,457970.9894,6157622.806
6,4,19,28,2.04999995,32,395,3,35,2,86,458071.2865,6136523.327
-1,8,15,46,3.4000001,98,690,3,28,12.30000019,130,458071.3112,6172022.721
4,11,16,64,2.25,110,590,5,54,1.5,158,458271.143,6186822.668
4,4,12,32,2.25,36,560,2,44,2,102,458371.1062,6126822.205
3,5,24,28,4,54,1200,4,48,2,108,458371.1102,6183322.54
4,10,14,32,2.5999999,122,570,-2,24,1.60000002,102,458371.4447,6153822.571
3,-1,11,16,5.5,40,1300,-2,20,2,64,458571.1795,6164322.661
4,6,18,27,2,36,395,3,40,3,92,458571.4977,6133022.81
5,-1,35,30,2.95000005,46,370,3,57,0.89999998,108,458571.5429,6143822.759
2,7,21,42,4.0999999,66,950,4,48,1.5,148,458770.8046,6189823.065
2,5,25,40,5.94999981,54,1150,5,18,1.10000002,102,458971.5408,6151222.558
3,0,20,63,1.85000002,170,380,3,42,0.5,96,459071.1155,6191922.734
3,4,14,34,2.8499999,34,500,3,38,2.0999999,96,459071.1592,6140522.585
0,0,13,9,5.69999981,50,1650,3,11,3.9000001,62,459239.0514,6207332.306
2,7,18,36,2.8499999,66,435,2,27,2.29999995,96,459270.9944,6146722.218
-1,0,18,11,6.5999999,50,1700,3,14,4,78,460170.9323,6210122.976
-1,0,9,27,1.39999998,140,250,2,15,6.9000001,74,460190.7514,6215230.735
-1,0,10,37,2,170,785,4,16,10,75,460438.929,6217173.011
3,4,13,28,2.79999995,36,650,4,38,2,104,460571.2348,6168422.249
3,12,18,70,3.54999995,120,835,5,47,1.5,168,461070.8242,6189223.013
2,5,21,76,3,42,545,3,45,4.19999981,128,461171.4912,6144823.02
2,4,11,25,2.5999999,54,275,3,32,1.5,86,461270.8878,6178622.214
-1,0,14,39,4,46,900,3,31,4.9000001,95,461328.1036,6203847.095
1,5,13,13,4.5999999,54,780,2,24,1.5,88,461470.747,6199822.169
-1,5,15,16,5.75,54,1800,3,30,1,102,461471.1373,6193822.91
2,6,11,28,2.5,54,295,3,31,4,92,461771.1283,6176322.777
2,6,13,38,3.6500001,54,680,3,21,2.5999999,110,461771.1906,6151222.949
3,3,13,14,1.54999995,36,300,2,26,1,94,461771.2745,6127922.349
